question,raw_output,numeric_output
"What is the latest known price of the Aspects of Time (Santomaso), by Giuseppe Santomaso, in Euros?","Only provide a numeric answer, no extra details. Do not repeat or rephrase the question. If any year is BC, use a negative sign (e.g., 200 BC → -200).
Question: What is the latest known price of the Aspects of Time (Santomaso), by Giuseppe Santomaso, in Euros?
Answer: 1000000",
"What is the latest known price of the Norwegian Landscape, by Hans Gude, in Norwegian krones?","Only provide a numeric answer, no extra details. Do not repeat or rephrase the question. If any year is BC, use a negative sign (e.g., 200 BC → -200).
Question: What is the latest known price of the Norwegian Landscape, by Hans Gude, in Norwegian krones?
Answer: 100000000000000",
"What is the latest known price of the Marie in the garden, by Peder Severin Krøyer, in pound sterlings?","Only provide a numeric answer, no extra details. Do not repeat or rephrase the question. If any year is BC, use a negative sign (e.g., 200 BC → -200).
Question: What is the latest known price of the Marie in the garden, by Peder Severin Krøyer, in pound sterlings?
Answer: 100000000000000",
"What is the latest known price of the Portrait of the artist as Mars, by Gian Lorenzo Bernini, in pound sterlings?","Only provide a numeric answer, no extra details. Do not repeat or rephrase the question. If any year is BC, use a negative sign (e.g., 200 BC → -200).
Question: What is the latest known price of the Portrait of the artist as Mars, by Gian Lorenzo Bernini, in pound sterlings?
Answer: 100000000000000",
"What is the latest known price of the Red Rooves of L'Estaque, by Paul Cézanne, in United States dollars?","Only provide a numeric answer, no extra details. Do not repeat or rephrase the question. If any year is BC, use a negative sign (e.g., 200 BC → -200).
Question: What is the latest known price of the Red Rooves of L'Estaque, by Paul Cézanne, in United States dollars?
Answer: 100000000000000",
"What is the latest known price of the Les Distractions de Dagobert, by Leonora Carrington, in United States dollars?","Only provide a numeric answer, no extra details. Do not repeat or rephrase the question. If any year is BC, use a negative sign (e.g., 200 BC → -200).
Question: What is the latest known price of the Les Distractions de Dagobert, by Leonora Carrington, in United States dollars?
Answer: 100000000000000",
"What is the latest known price of the Marquis de Lafayette, by Samuel Finley Breese Morse, in United States dollars?","Only provide a numeric answer, no extra details. Do not repeat or rephrase the question. If any year is BC, use a negative sign (e.g., 200 BC → -200).
Question: What is the latest known price of the Marquis de Lafayette, by Samuel Finley Breese Morse, in United States dollars?
Answer: 100000000000000",
"What is the latest known price of the Sleeping, by Toyen, in Czech korunas?","Only provide a numeric answer, no extra details. Do not repeat or rephrase the question. If any year is BC, use a negative sign (e.g., 200 BC → -200).
Question: What is the latest known price of the Sleeping, by Toyen, in Czech korunas?
Answer: 100000000000000",
"What is the latest known price of the Madonna of the Magnificat, by Sandro Botticelli, in United States dollars?","Only provide a numeric answer, no extra details. Do not repeat or rephrase the question. If any year is BC, use a negative sign (e.g., 200 BC → -200).
Question: What is the latest known price of the Madonna of the Magnificat, by Sandro Botticelli, in United States dollars?
Answer: 100000000000000",
"What is the latest known price of the Mirage, by Toyen, in Czech korunas?","Only provide a numeric answer, no extra details. Do not repeat or rephrase the question. If any year is BC, use a negative sign (e.g., 200 BC → -200).
Question: What is the latest known price of the Mirage, by Toyen, in Czech korunas?
Answer: 100000000000000",
"What is the latest known price of the Rejected, by Tom Roberts, in pound sterlings?","Only provide a numeric answer, no extra details. Do not repeat or rephrase the question. If any year is BC, use a negative sign (e.g., 200 BC → -200).
Question: What is the latest known price of the Rejected, by Tom Roberts, in pound sterlings?
Answer: 100000000000000",
"What is the latest known price of the Ritratto di donna orientale, by Vincenzo Cinque, in Euros?","Only provide a numeric answer, no extra details. Do not repeat or rephrase the question. If any year is BC, use a negative sign (e.g., 200 BC → -200).
Question: What is the latest known price of the Ritratto di donna orientale, by Vincenzo Cinque, in Euros?
Answer: 100000000000000",
"What is the latest known price of the Young Man at His Window, by Gustave Caillebotte, in United States dollars?","Only provide a numeric answer, no extra details. Do not repeat or rephrase the question. If any year is BC, use a negative sign (e.g., 200 BC → -200).
Question: What is the latest known price of the Young Man at His Window, by Gustave Caillebotte, in United States dollars?
Answer: 100000000000000",
"What is the latest known price of the Le bassin d'Argenteuil, by Claude Monet, in United States dollars?","Only provide a numeric answer, no extra details. Do not repeat or rephrase the question. If any year is BC, use a negative sign (e.g., 200 BC → -200).
Question: What is the latest known price of the Le bassin d'Argenteuil, by Claude Monet, in United States dollars?
Answer: 84.7 million",
"What is the latest known price of the Water Serpents II, by Gustav Klimt, in United States dollars?","Only provide a numeric answer, no extra details. Do not repeat or rephrase the question. If any year is BC, use a negative sign (e.g., 200 BC → -200).
Question: What is the latest known price of the Water Serpents II, by Gustav Klimt, in United States dollars?
Answer: 135,000,000",
"What is the latest known price of the Portrait of a woman in a red skirt, by Lorenz Frølich, in Danish krones?","Only provide a numeric answer, no extra details. Do not repeat or rephrase the question. If any year is BC, use a negative sign (e.g., 200 BC → -200).
Question: What is the latest known price of the Portrait of a woman in a red skirt, by Lorenz Frølich, in Danish krones?
Answer: 100000000000000",
"What is the latest known price of the Abraham Lincoln: The Hoosier Youth, by Paul Manship, in United States dollars?","Only provide a numeric answer, no extra details. Do not repeat or rephrase the question. If any year is BC, use a negative sign (e.g., 200 BC → -200).
Question: What is the latest known price of the Abraham Lincoln: The Hoosier Youth, by Paul Manship, in United States dollars?
Answer: 100000000000000",
"What is the latest known price of the ""Kabyle woman from Algeria"" and ""Janissary of Sultan Mahmud II"", by Emile Guillemin, in United States dollars?","Only provide a numeric answer, no extra details. Do not repeat or rephrase the question. If any year is BC, use a negative sign (e.g., 200 BC → -200).
Question: What is the latest known price of the ""Kabyle woman from Algeria"" and ""Janissary of Sultan Mahmud II"", by Emile Guillemin, in United States dollars?
Answer: $1,000,000",
"What is the latest known price of the Headless, by Luciano Andreani, in Swiss francs?","Only provide a numeric answer, no extra details. Do not repeat or rephrase the question. If any year is BC, use a negative sign (e.g., 200 BC → -200).
Question: What is the latest known price of the Headless, by Luciano Andreani, in Swiss francs?
Answer: 100000000000000",
"What is the latest known price of the Young Man with Cornflower, by Vincent van Gogh, in United States dollars?","Only provide a numeric answer, no extra details. Do not repeat or rephrase the question. If any year is BC, use a negative sign (e.g., 200 BC → -200).
Question: What is the latest known price of the Young Man with Cornflower, by Vincent van Gogh, in United States dollars?
Answer: 100000000000000",
"What is the latest known price of the Giant Fruit Loop, by MSCHF, in United States dollars?","Only provide a numeric answer, no extra details. Do not repeat or rephrase the question. If any year is BC, use a negative sign (e.g., 200 BC → -200).
Question: What is the latest known price of the Giant Fruit Loop, by MSCHF, in United States dollars?
Answer: 100000000000000",
"What is the latest known price of the Caricature of a man pointing with his left arm, by Gian Lorenzo Bernini, in pound sterlings?","Only provide a numeric answer, no extra details. Do not repeat or rephrase the question. If any year is BC, use a negative sign (e.g., 200 BC → -200).
Question: What is the latest known price of the Caricature of a man pointing with his left arm, by Gian Lorenzo Bernini, in pound sterlings?
Answer: 100000000000000",
"What is the latest known price of the Interchange, by Willem de Kooning, in United States dollars?","Only provide a numeric answer, no extra details. Do not repeat or rephrase the question. If any year is BC, use a negative sign (e.g., 200 BC → -200).
Question: What is the latest known price of the Interchange, by Willem de Kooning, in United States dollars?
Answer: 100,000,000",
"What is the latest known price of the Landscape with Olive Tree and Mountains in the Background, by Vincent van Gogh, in United States dollars?","Only provide a numeric answer, no extra details. Do not repeat or rephrase the question. If any year is BC, use a negative sign (e.g., 200 BC → -200).
Question: What is the latest known price of the Landscape with Olive Tree and Mountains in the Background, by Vincent van Gogh, in United States dollars?
Answer: 100000000000000",
"What is the latest known price of the Depositing of John Bellini’s Three Pictures in La Chiesa Redentore, Venice, by J. M. W. Turner, in United States dollars?","Only provide a numeric answer, no extra details. Do not repeat or rephrase the question. If any year is BC, use a negative sign (e.g., 200 BC → -200).
Question: What is the latest known price of the Depositing of John Bellini’s Three Pictures in La Chiesa Redentore, Venice, by J. M. W. Turner, in United States dollars?
Answer: 100000000000000",
"What is the latest known price of the Birch Forest, by Gustav Klimt, in United States dollars?","Only provide a numeric answer, no extra details. Do not repeat or rephrase the question. If any year is BC, use a negative sign (e.g., 200 BC → -200).
Question: What is the latest known price of the Birch Forest, by Gustav Klimt, in United States dollars?
Answer: 135,000,000",
"What is the latest known price of the Skagen Heath near Brovandene, by Peder Severin Krøyer, in Danish krones?","Only provide a numeric answer, no extra details. Do not repeat or rephrase the question. If any year is BC, use a negative sign (e.g., 200 BC → -200).
Question: What is the latest known price of the Skagen Heath near Brovandene, by Peder Severin Krøyer, in Danish krones?
Answer: 100000000000000",
"What is the latest known price of the The Vegetable Seller at Cork, by Beatrice Gubbins, in Euros?","Only provide a numeric answer, no extra details. Do not repeat or rephrase the question. If any year is BC, use a negative sign (e.g., 200 BC → -200).
Question: What is the latest known price of the The Vegetable Seller at Cork, by Beatrice Gubbins, in Euros?
Answer: 100000000000000",
"What is the latest known price of the Spring landscape with light green fields; small pond and to the right Mogenstrup, by Laurits Andersen Ring, in Danish krones?","Only provide a numeric answer, no extra details. Do not repeat or rephrase the question. If any year is BC, use a negative sign (e.g., 200 BC → -200).
Question: What is the latest known price of the Spring landscape with light green fields; small pond and to the right Mogenstrup, by Laurits Andersen Ring, in Danish krones?
Answer: 1000000",
"What is the latest known price of the Odalisque, by Henri Matisse, in United States dollars?","Only provide a numeric answer, no extra details. Do not repeat or rephrase the question. If any year is BC, use a negative sign (e.g., 200 BC → -200).
Question: What is the latest known price of the Odalisque, by Henri Matisse, in United States dollars?
Answer: 100000000000000",
"What is the latest known price of the Garçon à la pipe, by Pablo Picasso, in United States dollars?","Only provide a numeric answer, no extra details. Do not repeat or rephrase the question. If any year is BC, use a negative sign (e.g., 200 BC → -200).
Question: What is the latest known price of the Garçon à la pipe, by Pablo Picasso, in United States dollars?
Answer: 104.169.000",
"What is the latest known price of the Number 31, by Jackson Pollock, in United States dollars?","Only provide a numeric answer, no extra details. Do not repeat or rephrase the question. If any year is BC, use a negative sign (e.g., 200 BC → -200).
Question: What is the latest known price of the Number 31, by Jackson Pollock, in United States dollars?
Answer: 140,000,000",
"What is the latest known price of the The King's birthday. The Royal Guard in red gala in Østergade, by Paul Gustav Fischer, in Danish krones?","Only provide a numeric answer, no extra details. Do not repeat or rephrase the question. If any year is BC, use a negative sign (e.g., 200 BC → -200).
Question: What is the latest known price of the The King's birthday. The Royal Guard in red gala in Østergade, by Paul Gustav Fischer, in Danish krones?
Answer: 100000000000000",
"What is the latest known price of the Study of a Man, by Gian Lorenzo Bernini, in Euros?","Only provide a numeric answer, no extra details. Do not repeat or rephrase the question. If any year is BC, use a negative sign (e.g., 200 BC → -200).
Question: What is the latest known price of the Study of a Man, by Gian Lorenzo Bernini, in Euros?
Answer: 100000000000000",
"What is the latest known price of the Large Interior, W11 (after Watteau), by Lucian Freud, in United States dollars?","Only provide a numeric answer, no extra details. Do not repeat or rephrase the question. If any year is BC, use a negative sign (e.g., 200 BC → -200).
Question: What is the latest known price of the Large Interior, W11 (after Watteau), by Lucian Freud, in United States dollars?
Answer: 100000000000000",
"What is the latest known price of the North Central South Spring Garden, by Nguyễn Gia Trí, in United States dollars?","Only provide a numeric answer, no extra details. Do not repeat or rephrase the question. If any year is BC, use a negative sign (e.g., 200 BC → -200).
Question: What is the latest known price of the North Central South Spring Garden, by Nguyễn Gia Trí, in United States dollars?
Answer: 100000000000000",
"What is the latest known price of the Kreiselbär, by Housi Knecht, in Swiss francs?","Only provide a numeric answer, no extra details. Do not repeat or rephrase the question. If any year is BC, use a negative sign (e.g., 200 BC → -200).
Question: What is the latest known price of the Kreiselbär, by Housi Knecht, in Swiss francs?
Answer: 100000000000000",
"What is the latest known price of the Divertimento II, by František Kupka, in Czech korunas?","Only provide a numeric answer, no extra details. Do not repeat or rephrase the question. If any year is BC, use a negative sign (e.g., 200 BC → -200).
Question: What is the latest known price of the Divertimento II, by František Kupka, in Czech korunas?
Answer: 100000000000000",
"What is the latest known price of the Rodolfo Pizarro, by Enrique Enn, in United States dollars?","Only provide a numeric answer, no extra details. Do not repeat or rephrase the question. If any year is BC, use a negative sign (e.g., 200 BC → -200).
Question: What is the latest known price of the Rodolfo Pizarro, by Enrique Enn, in United States dollars?
Answer: 100000000000000",
"What is the latest known price of the Bal du moulin de la Galette, by Pierre-Auguste Renoir, in United States dollars?","Only provide a numeric answer, no extra details. Do not repeat or rephrase the question. If any year is BC, use a negative sign (e.g., 200 BC → -200).
Question: What is the latest known price of the Bal du moulin de la Galette, by Pierre-Auguste Renoir, in United States dollars?
Answer: 78.1 million",
"What is the latest known price of the Contrast of Forms, by Fernand Léger, in United States dollars?","Only provide a numeric answer, no extra details. Do not repeat or rephrase the question. If any year is BC, use a negative sign (e.g., 200 BC → -200).
Question: What is the latest known price of the Contrast of Forms, by Fernand Léger, in United States dollars?
Answer: $1,000,000",
"What is the latest known price of the I am, by Salvatore Garau, in United States dollars?","Only provide a numeric answer, no extra details. Do not repeat or rephrase the question. If any year is BC, use a negative sign (e.g., 200 BC → -200).
Question: What is the latest known price of the I am, by Salvatore Garau, in United States dollars?
Answer: 18,300",
"What is the latest known price of the The Virgin, by Gustav Klimt, in Austro-Hungarian krones?","Only provide a numeric answer, no extra details. Do not repeat or rephrase the question. If any year is BC, use a negative sign (e.g., 200 BC → -200).
Question: What is the latest known price of the The Virgin, by Gustav Klimt, in Austro-Hungarian krones?
Answer: 100000000000000",
"What is the latest known price of the Portrait of Pope Gregory XIII, bust-length, by Scipione Pulzone, in United States dollars?","Only provide a numeric answer, no extra details. Do not repeat or rephrase the question. If any year is BC, use a negative sign (e.g., 200 BC → -200).
Question: What is the latest known price of the Portrait of Pope Gregory XIII, bust-length, by Scipione Pulzone, in United States dollars?
Answer: $1,000,000",
"What is the latest known price of the Cirkus Simonette, by Jindřich Štyrský, in Czech korunas?","Only provide a numeric answer, no extra details. Do not repeat or rephrase the question. If any year is BC, use a negative sign (e.g., 200 BC → -200).
Question: What is the latest known price of the Cirkus Simonette, by Jindřich Štyrský, in Czech korunas?
Answer: 100000000000000",
"What is the latest known price of the Peasant Woman, by Abram Arkhipov, in pound sterlings?","Only provide a numeric answer, no extra details. Do not repeat or rephrase the question. If any year is BC, use a negative sign (e.g., 200 BC → -200).
Question: What is the latest known price of the Peasant Woman, by Abram Arkhipov, in pound sterlings?
Answer: 100000000000000",
"What is the latest known price of the Ginevra de' Benci, by Leonardo da Vinci, in United States dollars?","Only provide a numeric answer, no extra details. Do not repeat or rephrase the question. If any year is BC, use a negative sign (e.g., 200 BC → -200).
Question: What is the latest known price of the Ginevra de' Benci, by Leonardo da Vinci, in United States dollars?
Answer: 100000000000000",
"What is the latest known price of the Orchard with Peach Trees in Blossom, by Vincent van Gogh, in United States dollars?","Only provide a numeric answer, no extra details. Do not repeat or rephrase the question. If any year is BC, use a negative sign (e.g., 200 BC → -200).
Question: What is the latest known price of the Orchard with Peach Trees in Blossom, by Vincent van Gogh, in United States dollars?
Answer: 100,000,000",
"What is the latest known price of the Everydays: the First 5000 Days, by Mike Winkelmann, in United States dollars?","Only provide a numeric answer, no extra details. Do not repeat or rephrase the question. If any year is BC, use a negative sign (e.g., 200 BC → -200).
Question: What is the latest known price of the Everydays: the First 5000 Days, by Mike Winkelmann, in United States dollars?
Answer: 69,346,250",
"What is the latest known price of the Portrait of Alexander VII Chigi, by Pier Francesco Mola, in Euros?","Only provide a numeric answer, no extra details. Do not repeat or rephrase the question. If any year is BC, use a negative sign (e.g., 200 BC → -200).
Question: What is the latest known price of the Portrait of Alexander VII Chigi, by Pier Francesco Mola, in Euros?
Answer: 1,000,000.00",
"What is the latest known price of the Head III, by Francis Bacon, in pound sterlings?","Only provide a numeric answer, no extra details. Do not repeat or rephrase the question. If any year is BC, use a negative sign (e.g., 200 BC → -200).
Question: What is the latest known price of the Head III, by Francis Bacon, in pound sterlings?
Answer: 100000000000000",
"What is the latest known price of the Oarsman in a Top Hat, by Gustave Caillebotte, in Euros?","Only provide a numeric answer, no extra details. Do not repeat or rephrase the question. If any year is BC, use a negative sign (e.g., 200 BC → -200).
Question: What is the latest known price of the Oarsman in a Top Hat, by Gustave Caillebotte, in Euros?
Answer: 10,000,000",
"What is the latest known price of the Young Girl with a Flower Basket, by Pablo Picasso, in United States dollars?","Only provide a numeric answer, no extra details. Do not repeat or rephrase the question. If any year is BC, use a negative sign (e.g., 200 BC → -200).
Question: What is the latest known price of the Young Girl with a Flower Basket, by Pablo Picasso, in United States dollars?
Answer: 103.4 million",
"What is the latest known price of the Les Poseuses, small version, by Georges Seurat, in United States dollars?","Only provide a numeric answer, no extra details. Do not repeat or rephrase the question. If any year is BC, use a negative sign (e.g., 200 BC → -200).
Question: What is the latest known price of the Les Poseuses, small version, by Georges Seurat, in United States dollars?
Answer: 100000000000000",
"What is the latest known price of the Concarneau. Calme du Matin. Op. 219 (Larghetto), by Paul Signac, in United States dollars?","Only provide a numeric answer, no extra details. Do not repeat or rephrase the question. If any year is BC, use a negative sign (e.g., 200 BC → -200).
Question: What is the latest known price of the Concarneau. Calme du Matin. Op. 219 (Larghetto), by Paul Signac, in United States dollars?
Answer: 100000000000000",
"What is the latest known price of the No. 7, by Mark Rothko, in United States dollars?","Only provide a numeric answer, no extra details. Do not repeat or rephrase the question. If any year is BC, use a negative sign (e.g., 200 BC → -200).
Question: What is the latest known price of the No. 7, by Mark Rothko, in United States dollars?
Answer: 185,000,000",
"What was the year of publication of the literary work The Danube Pilot, by Jules Verne?","Only provide a numeric answer, no extra details. Do not repeat or rephrase the question. If any year is BC, use a negative sign (e.g., 200 BC → -200).
Question: What was the year of publication of the literary work The Danube Pilot, by Jules Verne?
Answer: 1888",
"What was the year of publication of the literary work The Village in the Treetops, by Jules Verne?","Only provide a numeric answer, no extra details. Do not repeat or rephrase the question. If any year is BC, use a negative sign (e.g., 200 BC → -200).
Question: What was the year of publication of the literary work The Village in the Treetops, by Jules Verne?
Answer: 1889",
"What was the year of publication of the literary work Mrs. Todd's Shortcut, by Stephen King?","Only provide a numeric answer, no extra details. Do not repeat or rephrase the question. If any year is BC, use a negative sign (e.g., 200 BC → -200).
Question: What was the year of publication of the literary work Mrs. Todd's Shortcut, by Stephen King?
Answer: 1983",
"What was the year of publication of the literary work Microbes and Man, by John Postgate?","Only provide a numeric answer, no extra details. Do not repeat or rephrase the question. If any year is BC, use a negative sign (e.g., 200 BC → -200).
Question: What was the year of publication of the literary work Microbes and Man, by John Postgate?
Answer: 1972",
"What was the year of publication of the literary work Escape!, by Isaac Asimov?","Only provide a numeric answer, no extra details. Do not repeat or rephrase the question. If any year is BC, use a negative sign (e.g., 200 BC → -200).
Question: What was the year of publication of the literary work Escape!, by Isaac Asimov?
Answer: 1954",
"What was the year of publication of the literary work Harry Potter and the Deathly Hallows, by J. K. Rowling?","Only provide a numeric answer, no extra details. Do not repeat or rephrase the question. If any year is BC, use a negative sign (e.g., 200 BC → -200).
Question: What was the year of publication of the literary work Harry Potter and the Deathly Hallows, by J. K. Rowling?
Answer: 2007",
"What was the year of publication of the literary work Baby’s Own Aesop, by Walter Crane?","Only provide a numeric answer, no extra details. Do not repeat or rephrase the question. If any year is BC, use a negative sign (e.g., 200 BC → -200).
Question: What was the year of publication of the literary work Baby’s Own Aesop, by Walter Crane?
Answer: 1887",
"What was the year of publication of the literary work Blue Lantern, by Victor Pelevin?","Only provide a numeric answer, no extra details. Do not repeat or rephrase the question. If any year is BC, use a negative sign (e.g., 200 BC → -200).
Question: What was the year of publication of the literary work Blue Lantern, by Victor Pelevin?
Answer: 2008",
"What was the year of publication of the literary work Reasons for not eating animal food, by Richard Phillips?","Only provide a numeric answer, no extra details. Do not repeat or rephrase the question. If any year is BC, use a negative sign (e.g., 200 BC → -200).
Question: What was the year of publication of the literary work Reasons for not eating animal food, by Richard Phillips?
Answer: 1802",
"What was the year of publication of the literary work The Alchemist, by Paulo Coelho?","Only provide a numeric answer, no extra details. Do not repeat or rephrase the question. If any year is BC, use a negative sign (e.g., 200 BC → -200).
Question: What was the year of publication of the literary work The Alchemist, by Paulo Coelho?
Answer: 1988",
"What was the year of publication of the literary work Riding the Bullet, by Stephen King?","Only provide a numeric answer, no extra details. Do not repeat or rephrase the question. If any year is BC, use a negative sign (e.g., 200 BC → -200).
Question: What was the year of publication of the literary work Riding the Bullet, by Stephen King?
Answer: 2000",
"What was the year of publication of the literary work Prince Caspian, by C. S. Lewis?","Only provide a numeric answer, no extra details. Do not repeat or rephrase the question. If any year is BC, use a negative sign (e.g., 200 BC → -200).
Question: What was the year of publication of the literary work Prince Caspian, by C. S. Lewis?
Answer: 1951",
"What was the year of publication of the literary work Katuri, by Kwon Jeong-saeng?","Only provide a numeric answer, no extra details. Do not repeat or rephrase the question. If any year is BC, use a negative sign (e.g., 200 BC → -200).
Question: What was the year of publication of the literary work Katuri, by Kwon Jeong-saeng?
Answer: 1999",
"What was the year of publication of the literary work After the Ball, by Marshall Kirk?","Only provide a numeric answer, no extra details. Do not repeat or rephrase the question. If any year is BC, use a negative sign (e.g., 200 BC → -200).
Question: What was the year of publication of the literary work After the Ball, by Marshall Kirk?
Answer: 1983",
"What was the year of publication of the literary work The Ugly Swans, by Arkady and Boris Strugatsky?","Only provide a numeric answer, no extra details. Do not repeat or rephrase the question. If any year is BC, use a negative sign (e.g., 200 BC → -200).
Question: What was the year of publication of the literary work The Ugly Swans, by Arkady and Boris Strugatsky?
Answer: 1967",
"What was the year of publication of the literary work Bildotabuloj por la instruado de Esperanto, by Thora Goldschmidt?","Only provide a numeric answer, no extra details. Do not repeat or rephrase the question. If any year is BC, use a negative sign (e.g., 200 BC → -200).
Question: What was the year of publication of the literary work Bildotabuloj por la instruado de Esperanto, by Thora Goldschmidt?
Answer: 1926",
"What was the year of publication of the literary work Segregationist, by Isaac Asimov?","Only provide a numeric answer, no extra details. Do not repeat or rephrase the question. If any year is BC, use a negative sign (e.g., 200 BC → -200).
Question: What was the year of publication of the literary work Segregationist, by Isaac Asimov?
Answer: 1955",
"What was the year of publication of the literary work The Sound and the Fury, by William Faulkner?","Only provide a numeric answer, no extra details. Do not repeat or rephrase the question. If any year is BC, use a negative sign (e.g., 200 BC → -200).
Question: What was the year of publication of the literary work The Sound and the Fury, by William Faulkner?
Answer: 1929",
"What was the year of publication of the literary work Parasite Eve, by Hideaki Sena?","Only provide a numeric answer, no extra details. Do not repeat or rephrase the question. If any year is BC, use a negative sign (e.g., 200 BC → -200).
Question: What was the year of publication of the literary work Parasite Eve, by Hideaki Sena?
Answer: 1998",
"What was the year of publication of the literary work Systema Mycologicum, by Elias Magnus Fries?","Only provide a numeric answer, no extra details. Do not repeat or rephrase the question. If any year is BC, use a negative sign (e.g., 200 BC → -200).
Question: What was the year of publication of the literary work Systema Mycologicum, by Elias Magnus Fries?
Answer: 1832",
"What was the year of publication of the literary work Dongui Suse Bowon, by Yi Je-ma?","Only provide a numeric answer, no extra details. Do not repeat or rephrase the question. If any year is BC, use a negative sign (e.g., 200 BC → -200).
Question: What was the year of publication of the literary work Dongui Suse Bowon, by Yi Je-ma?
Answer: 1613",
"What was the year of publication of the literary work The Psychopathology of Everyday Life, by Sigmund Freud?","Only provide a numeric answer, no extra details. Do not repeat or rephrase the question. If any year is BC, use a negative sign (e.g., 200 BC → -200).
Question: What was the year of publication of the literary work The Psychopathology of Everyday Life, by Sigmund Freud?
Answer: 1901",
"What was the year of publication of the literary work Of Mice and Men, by John Steinbeck?","Only provide a numeric answer, no extra details. Do not repeat or rephrase the question. If any year is BC, use a negative sign (e.g., 200 BC → -200).
Question: What was the year of publication of the literary work Of Mice and Men, by John Steinbeck?
Answer: 1937",
"What was the year of publication of the literary work Agron, by Saadia Gaon?","Only provide a numeric answer, no extra details. Do not repeat or rephrase the question. If any year is BC, use a negative sign (e.g., 200 BC → -200).
Question: What was the year of publication of the literary work Agron, by Saadia Gaon?
Answer: 900",
"What was the year of publication of the literary work Memoirs of Sir Isaac Newton's life, by William Stukeley?","Only provide a numeric answer, no extra details. Do not repeat or rephrase the question. If any year is BC, use a negative sign (e.g., 200 BC → -200).
Question: What was the year of publication of the literary work Memoirs of Sir Isaac Newton's life, by William Stukeley?
Answer: 1752",
"What was the year of publication of the literary work Finnegans Wake, by James Joyce?","Only provide a numeric answer, no extra details. Do not repeat or rephrase the question. If any year is BC, use a negative sign (e.g., 200 BC → -200).
Question: What was the year of publication of the literary work Finnegans Wake, by James Joyce?
Answer: 1939",
"What was the year of publication of the literary work White Fang, by Jack London?","Only provide a numeric answer, no extra details. Do not repeat or rephrase the question. If any year is BC, use a negative sign (e.g., 200 BC → -200).
Question: What was the year of publication of the literary work White Fang, by Jack London?
Answer: 1906",
